ADC strategy_id,Chenyiyun2087 strategy_id,是否同源策略,是否仅共享信号,是否共享特征,数据快照是否一致,配置是否一致,交易规则是否一致,是否形成研究→候选→账户→账本证据链,映射依据与限制
AUTO,ashare_auto_shadow,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,仅名称含 AUTO/auto；ADC 只有无绩效 leaderboard 行；Cheny 有 61 日历史保存账户结果但无法新鲜回放
hybrid_conservative_v1,ashare_hybrid_conservative_shadow,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,NOT_VERIFIABLE,NO,NO,仅名称语义相近；ADC 无完整 OOS/WF/账户证据；Cheny 配置为 5 仓而 ADC 治理描述为最多 2 仓且单仓 25%
trend_breakout_v1,ashare_trend_breakout_shadow,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,仅名称语义相近；ADC 无策略级验证；Cheny 历史保存账户 61 日零交易
adaptive_vol_position_v1,,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,Cheny 存在多个 vol_position 名称但审计文件未建立版本或信号映射
,production_governed_vol_position,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,无 ADC 对应身份；无保存账户交易且新鲜严格回放失败
,baseline_full_liquidity_detail_vol_position,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,NOT_VERIFIABLE,NO,NO,无 ADC 对应身份；仅有不可复现历史保存账户结果
,adaptive_market_style,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,NOT_VERIFIABLE,NO,NO,无 ADC 对应身份；仅有不可复现历史保存账户结果
,dual_system_adaptive_route,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,NOT_VERIFIABLE,NO,NO,无 ADC 对应身份；仅有 61 日不可复现历史保存账户结果
,tiered_liquidity_then_bs_v2,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,NOT_VERIFIABLE,NO,NO,ADC 有 bs_signal_trigger 但没有文件证明身份、信号或特征关系；Cheny 历史账户长期亏损且回撤极大
,chenyiyun_selected,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,无 ADC 对应身份且无兼容保存账户账本
,repair_reversal_shadow,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,无 ADC 对应身份且无兼容保存账户账本
classic,,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,仅 ADC 发现且无策略级账本或 NAV
plate_enhanced_v3,,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,NOT_VERIFIABLE,NO,NO,只有 exact v3 零交易 smoke；v8_locked 不能替代 exact v3
hybrid_conservative_v2,,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,仅 ADC 发现且无验证证据
pullback_quality_v1,,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,仅 ADC 发现且无验证证据
monitor_explain_v1,,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,仅 ADC 发现且无验证证据
quant_selection_engine,,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,仅 ADC 组件且无独立组合入口验证
market_regime_gate,,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,仅 ADC 组件且无独立组合入口验证
plate_enhanced_v3_env,,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,仅 ADC 组件且无独立组合入口验证
bs_signal_trigger,,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,仅 ADC 组件；不能据名称映射到 tiered_liquidity_then_bs_v2
turtle_breakout,,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,仅 ADC 组件且无独立组合入口验证
volume_breakout,,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,仅 ADC 组件且无独立组合入口验证
ma20_pullback,,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,仅 ADC 组件且无独立组合入口验证
ma250_retest,,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,仅 ADC 组件且无独立组合入口验证
low_drawdown_uptrend,,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,仅 ADC 组件且无独立组合入口验证
multi_indicator_resonance,,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,仅 ADC 组件且无独立组合入口验证
tech_score_ranker,,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,仅 ADC 组件且无独立组合入口验证
factor_alpha_ranker,,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,仅 ADC 组件且无独立组合入口验证
adaptive_vol_ranker,,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,仅 ADC 组件且无独立组合入口验证
smart_money_resonance,,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,仅 ADC 组件且无独立组合入口验证
risk_veto_basic,,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,仅 ADC 组件且无独立组合入口验证
market_regime_timing_formal,,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,仅 9 个交易日的 fixture-like 证据对象
plate_enhanced_v3_v8_locked,,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,NOT_VERIFIABLE,NO,NO,ADC 历史实验变体；严格历史股票池为 false；无 Cheny 对应账户身份
lgbm_shadow_model,,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,NOT_VERIFIABLE,NOT_VERIFIABLE,NO,ADC 影子评分模型而非账户策略；无 Cheny 对应身份
