strategy,strategy_display_name,candidate_count,order_count,buy_count,sell_count,adaptive_role,adaptive_underlying_strategy,adaptive_underlying_display_name,adaptive_position_scale,adaptive_position_reason,adaptive_reason,market_style_state,selected_strategy,selected_strategy_display_name,recent_champion_strategy,recent_champion_display_name,champion_score,weekly_switch_allowed,market_state,industry_state,adaptive_version,strategy_source,ashare_resolved_strategy,ashare_release_tier,ashare_weight_profile,ashare_supplement_limit,ashare_weight_cache_key,dual_intersection_count,dual_union_count,ashare_weighted_hit_count,ashare_supplement_count,ashare_weekly_penalty_count,ashare_risk_veto_filtered_count,target_position_ratio,style_reason,switch_reason,route_reason,risk_veto_reason,base_strategy,base_strategy_display_name,hold_days,position_ratio,total_equity_used,shadow_note
tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,5,0,0,0,,,-,,,,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,tiered_liquidity_then_bs_v2,流动性分层B点进攻策略,10,0.0,500000.0,
baseline_full_dynamic_factor_industry_cap2,动态因子均衡策略（单行业最多2只）,0,0,0,0,,,-,,,,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,baseline_full_dynamic_factor_industry_cap2,动态因子均衡策略（单行业最多2只）,10,0.5,500000.0,
baseline_full_liquidity_detail,流动性质量防守策略,5,3,3,0,,,-,,,,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail,流动性质量防守策略,10,0.5,500000.0,
baseline_full_liquidity_detail_hold12_shadow,流动性质量防守策略（12日持有影子）,5,3,3,0,,,-,,,,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail,流动性质量防守策略,12,0.5,500000.0,三年优化矩阵相对较稳：防守策略持有12日。
baseline_full_liquidity_detail_market_gate_pos50_shadow,流动性质量防守策略（市场门禁50%仓位影子）,5,3,3,0,,,-,,,,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail_market_gate,流动性质量防守策略（市场门禁）,10,0.5,500000.0,三年优化矩阵回撤控制相对较好：市场门禁防守策略50%仓位。
baseline_full_liquidity_shadow,纯流动性防守策略（影子）,5,3,3,0,,,-,,,,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity,纯流动性防守策略,10,0.5,500000.0,最近三个月表现较强的纯流动性防守影子策略。
baseline_full_liquidity_detail_vol_position_shadow,流动性质量稳健策略（波动仓位影子）,5,3,3,0,,,-,,,,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail_vol_position,流动性质量稳健策略（波动仓位）,10,0.5,500000.0,高波动且流动性尚可时的稳健仓位影子对照。
baseline_full_liquidity_detail_hist_mdd_position_shadow,流动性质量稳健策略（回撤仓位影子）,5,3,3,0,,,-,,,,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,baseline_full_liquidity_detail_hist_mdd_position,流动性质量稳健策略（回撤仓位）,10,0.5,500000.0,近期回撤扩大时的稳健仓位影子对照。
baseline_full_score,基础综合评分策略,5,5,5,0,,,-,,,,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,baseline_full_score,基础综合评分策略,10,0.5,500000.0,
adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,3,2,2,0,defensive,baseline_full_liquidity,纯流动性防守策略,0.5,attack_completed_history_drawdown_cap_70pct,defensive_weak_market_or_attack_industry_risk,defensive,baseline_full_liquidity,纯流动性防守策略,baseline_full_liquidity_detail_vol_position,流动性质量稳健策略（波动仓位）,11.624403972141547,1.0,index_weak,normal,,,,,,,,,,,,,,0.25,defensive_weak_market_or_attack_industry_risk,defensive_weak_market_or_attack_industry_risk,,,adaptive_style_switch_dynamic_position,市场风格自适应切换策略（动态仓位）,10,0.5,500000.0,
adaptive_style_shadow,市场风格自适应生产策略（影子）,3,2,2,0,defensive,baseline_full_liquidity,纯流动性防守策略,0.5,attack_completed_history_drawdown_cap_70pct,defensive_weak_market_or_attack_industry_risk,defensive,baseline_full_liquidity,纯流动性防守策略,baseline_full_liquidity_detail_vol_position,流动性质量稳健策略（波动仓位）,11.624403972141547,1.0,index_weak,normal,,,,,,,,,,,,,,0.25,defensive_weak_market_or_attack_industry_risk,defensive_weak_market_or_attack_industry_risk,,,adaptive_market_style,市场风格自适应生产策略,10,0.5,500000.0,市场风格状态驱动的自适应生产候选影子对照。
