strategy_key,ADC strategy_id,Chenyiyun2087 strategy_id,PIT / 数据质量状态,OOS 状态,Walk-forward 状态,Portfolio 回测状态,账户级账本状态,影子盘状态,严格账本一致性状态,成本与容量状态,最大回撤与尾部风险状态,市场状态覆盖程度,可比性,当前允许阶段,首要风险
AUTO↔ashare_auto_shadow,AUTO,ashare_auto_shadow,FAIL_ADC_NOT_VERIFIED_CHENY_SNAPSHOT_NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,HISTORICAL_SAVED_NON_REPRODUCIBLE_61D,SHADOW_LABEL_ONLY,NOT_VERIFIABLE,CAPACITY_NOT_VERIFIABLE,DD_-17.28%_SINGLE_NAME_99.85%,INSUFFICIENT_61D,NON_COMPARABLE,BLOCKED,数据与执行
hybrid_conservative_v1↔ashare_hybrid_conservative_shadow,hybrid_conservative_v1,ashare_hybrid_conservative_shadow,FAIL_BOTH_NOT_VERIFIED,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,HISTORICAL_SAVED_NON_REPRODUCIBLE_61D,SHADOW_LABEL_ONLY,NOT_VERIFIABLE,CAPACITY_NOT_VERIFIABLE,DD_-15.56%_SINGLE_NAME_98.74%,INSUFFICIENT_61D,NON_COMPARABLE,RESEARCH_ONLY,数据与集中度
trend_breakout_v1↔ashare_trend_breakout_shadow,trend_breakout_v1,ashare_trend_breakout_shadow,FAIL_BOTH_NOT_VERIFIED,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,HISTORICAL_SAVED_ZERO_TRADE_61D,SHADOW_LABEL_ONLY,NOT_VERIFIABLE,CAPACITY_NOT_VERIFIABLE,ZERO_TRADE_NO_RISK_INFERENCE,INSUFFICIENT_61D,NON_COMPARABLE,RESEARCH_ONLY,无交易与研究缺失
plate_enhanced_v3_v8_locked,plate_enhanced_v3_v8_locked,,FAIL_STRICT_HISTORICAL_POOL_FALSE,NEGATIVE_ALL_6_ACTIVE_YEARS,NOT_VERIFIABLE,PARTIAL_8_YEARLY_SUMMARIES_NO_CONTINUOUS_LEDGER,NONE,NONE,NOT_VERIFIABLE,BINDING_27_TO_37_BREACHES_FILL_~50_TO_54%,WORST_DD_-12.68%_TAIL_NOT_RECALCULABLE,PARTIAL_2018_2023_ACTIVE_2024_2025_ZERO_TRADE,NON_COMPARABLE,RESEARCH_ONLY,数据与容量
plate_enhanced_v3,plate_enhanced_v3,,FAIL_DATA_NOT_VERIFIED,SMOKE_ONLY_3x1D_ZERO_TRADE,SMOKE_ONLY_6D_ZERO_TRADE,RELATED_VARIANT_ONLY,NONE,NONE,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,INSUFFICIENT_6D,NON_COMPARABLE,RESEARCH_ONLY,版本错配与样本不足
market_regime_timing_formal,market_regime_timing_formal,,LEAKAGE_SUSPECTED_FIXTURE_RISK,NOT_VERIFIABLE,FAIL_9D_IDENTICAL_IS_OOS_SHARPE,NOT_VERIFIABLE,NONE,NONE,NOT_VERIFIABLE,COST_DIGEST_MISSING,REPORTED_DD_-1%_NOT_CREDIBLE,INSUFFICIENT_9D,NON_COMPARABLE,RESEARCH_ONLY,过拟合或夹具风险
lgbm_shadow_model,lgbm_shadow_model,,FAIL_SNAPSHOT_CONFIG_DIGEST_MISSING,SHADOW_SCORE_ONLY,NOT_VERIFIABLE,NOT_APPLICABLE,NONE,WEAK_226_OBS_COST_AFTER_IR_-1.749,NOT_VERIFIABLE,COST_MODEL_NOT_SPECIFIED,TAIL_NOT_VERIFIABLE,OBS_NOT_TRADING_DAYS,NON_COMPARABLE,RESEARCH_ONLY,数据谱系与弱表现
baseline_full_liquidity_detail_vol_position,,baseline_full_liquidity_detail_vol_position,FAIL_SNAPSHOT_NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,HISTORICAL_ACCOUNT_BACKTEST_ONLY,HISTORICAL_SAVED_NON_REPRODUCIBLE_822D,NONE,NOT_VERIFIABLE,CAPACITY_ADV_IMPACT_NOT_VERIFIABLE,DD_-66.41%_757D_SINGLE_NAME_74.53%_INDUSTRY_90.32%,PARTIAL_2023_2026_NO_FORMAL_REGIMES,NON_COMPARABLE,BLOCKED,回撤与集中度
adaptive_market_style,,adaptive_market_style,FAIL_SNAPSHOT_NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,HISTORICAL_ACCOUNT_BACKTEST_ONLY,HISTORICAL_SAVED_NON_REPRODUCIBLE_824D,SHADOW_LABEL_ONLY,NOT_VERIFIABLE,CAPACITY_ADV_IMPACT_NOT_VERIFIABLE,DD_-37.33%_621D_SINGLE_NAME_45.72%_INDUSTRY_61.61%,PARTIAL_2023_2026_NO_FORMAL_REGIMES,NON_COMPARABLE,BLOCKED,执行复现与回撤
dual_system_adaptive_route,,dual_system_adaptive_route,FAIL_SNAPSHOT_NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,HISTORICAL_ACCOUNT_BACKTEST_ONLY,HISTORICAL_SAVED_NON_REPRODUCIBLE_61D,NONE,NOT_VERIFIABLE,CAPACITY_ADV_IMPACT_NOT_VERIFIABLE,DD_-12.06%_52D,INSUFFICIENT_61D,NON_COMPARABLE,BLOCKED,短样本与执行
